Writer,Average
Darin Henry,42.64
Bruce Eric Kaplan,34.53333333
David Mandel,33.83333333
Jeff Schaffer,33.66666667
Alec Berg,33.3
Kit Boss,33.3
Steve Koren,33.05
Steve O'Donnell,32.9
Dan O'Keefe,32.86666667
Gregg Kavet ,32.61818182
Spike Feresten,32.07777778
Andy Robin,31.91538462
Sam Kass,31.7
Ron Hauge,31.6
Charlie Rubin,31.6
Jill Franklyn,31.6
Billy Kimball,31.6
Jennifer Crittenden,31.06
Tom Gammill,30.56923077
Max Pross,30.56923077
Carol Leifer,30.5
Steve Lookner,30.5
Andy Cowan,30.1
Marjorie Gross.1,30.1
Matt Selman,29.9
Marjorie Gross,29.7
Marc Jaffe.1,29.6
Bruce Kirschbaum,29.2
Lawrence H. Levy,28.2
Jonathan Gross,28.2
Fred Stoller,28.05
Peter Mehlman,27.93636364
Larry David ,25.26666667
Bob Shaw ,24.3
 Jerry Seinfeld,22.80526316
Bill Masters,22.8
Larry Charles,20.68333333
Matt Goldman,19.15
Marc Jaffe,17.85
Greg Daniels,17.8
Steve Skrovan,17.6
Jon Hayman,17.6
Larry Levin,17
Elaine Pope,16.76666667
Peter Farrelly,16.2
Bob Farrelly,16.2
Tom Leopold,15.875
Don McEnery,15.8